Package Name,Average Size (KB)
django-payload-validator,9.04296875
gpkron,3.89697265625
amd-onnx-weekly,14590.428690592447
opengithub,2.3198686079545454
odoo12-addon-l10n-it-vat-statement-communication,50.16138482862903
acb-py,26.461817052980134
ibclient,33.455078125
fetch-data-olist,2.1494140625
kolibri-sync-extras-plugin,8.269391741071429
franklab-nwb-extensions,7.71982421875
PyREMOT,207.38544921875
djangorestframework-serializer-mixins,4.71826171875
dynamicxml,4.49560546875
micropython-email.header,8.229166666666666
MatterPy,5.06748046875
airflow-provider-whylogs,9.613932291666666
freezegun,15.16335720486111
agent-marketplace-sdk,102.43028846153847
django-pdb,6.8913690476190474
django-session-csrf-per-view,13.1240234375
sparta-memcached,5.587456597222222
pyce3,6.2216796875
sag-calc,2.06787109375
ark-cli,9.72384982638889
autolink_py,4.9794921875
xia-cache,127.44986979166667
markdown-to-blog,5.10009765625
homie,4.381315104166666
micropython-imghdr,0.5810546875
mfa-auth,2.2314453125
pyramid-openid,6.3955078125
pyCLI,100.64655671296296
rfidtools,40.4520263671875
gusset,2.758544921875
RA-Package,6.84619140625
anyflow,3.3507486979166665
astropixie-widgets,8.072157118055555
drf-async-ws,5.443033854166667
uplift-learn,1.765625
odoo14-addon-account-financial-report-operating-unit,32.595947265625
python-packer,4.0005859375
NifflerAnalyticsSDK,10.525
odoo14-addons-oca-connector-telephony,1.45
winrt-Windows.Media.PlayTo,54.654820033482146
wix-protos-platform-serverless-deployer-api,1.37451171875
RestApiz,3.2109375
StatMechGlass,44.32568359375
pyfathom,5.9453125
django-ifo,3.13134765625
fsm_strip_length_analysis,6.156575520833333
pycspr,48.78248948317308
collage-library,1.908203125
cloudformation-cli-java-plugin,37.184622628348215
xfmt,10.28662109375
gid,4.194580078125
arcon,5.244977678571429
latestearthquake-indonesia-sokawera,14.939732142857142
example-package-jdroldan,2.1494140625
optimal-transport,2.18359375
Gaussian-Binomial-Tool,3.1455078125
tracery,7.87939453125
odoo14-addon-sale-quotation-number,43.47039794921875
haas-python-servo,8.142717633928571
Kageku,5.713448660714286
kalib,56.970703125
django-s-tasks-api,21.8037109375
data-scientist-tools,4.083540482954546
BMI-module,1.8544921875
ita,8.9344482421875
veryhardmodule,1.87841796875
odoo-addon-l10n-th-gov-purchase-agreement,27.931884765625
httpie-hmac-auth,2.584375
sgmail,2.0201009114583335
gym-cap,29.61105685763889
libreflow.extensions.anpo.dependency-manager,25.471354166666668
swiftrank,15.4330078125
telicent-owl2shacl,6.84619140625
tinycoinlib,19.35888671875
dspyce,39.03935546875
python-distilclient,41.79388786764706
anil-probdist,3.27734375
belief-state-superposition,4.861328125
eopra-switcher,4.19482421875
HeroesCoC,1.8583984375
pytest-automation,14.834735576923077
ppigrf,18.544642857142858
SM16relind,3.51611328125
runtime.tools,1.0677083333333333
arequestsHelper,3.345415900735294
hyperspex,22.814908854166667
webint-cache,19.535342261904763
sn-edx-middleware,1.52978515625
mimesis-ai,4.884765625
mySoftware,0.6484375
gjaischool5313,1.60791015625
affo-user-service,18.97216796875
graphinglib,34.04627821180556
akshay-jay,4.009765625
hashback,52.124674479166664
autopop,5.106670673076923
pytorch-mppi,18.41552734375
RegScale-CLI,485.4591577292899
wdl,33.310498046875
completely,2.43603515625
SLUSpell,11404.740234375
code-snipper,4.49384765625
scanpatterns,8.918212890625
orchardmanagement-package,30.3583984375
ngu,1.3037109375
datasette-ics,7.901475694444445
lump,13.837890625
pico-pyses-mailer,3.0686848958333335
vilnius-aruodas-scraper,4.33056640625
voxtalkz,15.33
geodemoch,2.9453125
terminal-test,1.4384765625
neutron-plugin-pluribus,7.17333984375
cat-merge,7.160295758928571
tpclientpy,2.175390625
os_deferred_delete_python_novaclient_ext,1.951171875
pynisher,16.48327105978261
jellyml-lightning,5.05126953125
sezy,0.4404296875
jetsam,6.779947916666667
hubble-github,4.80859375
FOXFORD-API,27.023856026785715
odoo-addon-product-packaging-container-deposit,32.161458333333336
skny-dsnd-prob,3.13671875
lsc-tictactoe,1.63623046875
pycounts_ky,3.19189453125
wallman,187.25498744419642
lib-test-tanner,1.74609375
vtwt,23.317708333333332
pacmanupgradelist,14.049072265625
lacdkeras,4.608566810344827
mqttorrd,10.08251953125
django-dynamicstatics,2.2233072916666665
triton-util,3.839599609375
vision_oslo_extension,3450.74648215554
datawise,8.97509765625
DACBench,3012.1201171875
opsworks-json,5.133138020833333
gs-lib,75450.12174479167
wexample-wex-addon-app,3.8524305555555554
check-keepass-passwords,4.04541015625
ant-ask-me,1067.6134440104167
maoproxy,3.8076171875
example-pkg-shams-nahid,1.76513671875
odoo8-addon-website-crm-recaptcha,14.24140625
minichat,1625.21875
gym-mapf,1451.0545169890872
folium,95.07581676136364
odoo11-addon-account-fiscal-position-partner-type,27.96875
collective.contentrules.mailtolocalrole,20.57958984375
dm.zope.schema,20.0543212890625
apk-game,1.5498046875
neuronetworks,1.2236328125
gbptestneutron,2100.095703125
betty-ml,229.32356770833334
PyrogramPlus,417.48095703125
PyAlStruct,10.696010044642858
nobinobi-daily-follow-up,776.3584123883928
hj-pypi-sample,1.62890625
sentiment-analysis-es,2.87060546875
rer.downloadurl,13.134765625
nemi-learn,7.794189453125
hlunity,10.618489583333334
noteit,8.171412417763158
ucltip,14.90830078125
pyrpds,181.56011284722223
rqmts,90.9033203125
Looppool,11.21875
pyramid-apispec,9.4854736328125
odoo8-addon-l10n-it-central-journal,28.03076171875
kivy-garden.collider,114.8877146503713
saiph,32.05858122996795
tout,5.0546875
ipypy,7.732259114583333
absurdia,24.881480823863637
WuFeiLiuGuang-first-package,3.896484375
python-networkdays,8.9813232421875
IR-JaGeo,5.92529296875
plonetheme.broadcaster,62.046875
rer.sitesearch,348.3739769345238
antchain-ak-350f54f795374598b5bdf70ed9a45683,7.7880859375
metame,3.847412109375
motmot.ufmf,54.354443359375
autogalaxy,504.6374716065529
bs_python_utils,61.01765625
pytohtml,57.15774356617647
delta-lake-trello-qxf2,15.40625
authentication-middleware,2.22607421875
paper,3.4521484375
bourguiba,2.516301081730769
trabalho-individual-de-gces,20.52568359375
pytorch-ard,6.027204241071429
mranalytica,1.224609375
neuon,2.8766276041666665
bpyshell,8.87890625
certbot-dns-myloc,8.26904296875
zhpr,4.702392578125
Topsis-Kinjal-102003532,3.1396484375
mcpartools,27.625498670212767
M3Learning-Util,214.54425920758928
uvicmuse-dongle,692.59375
openredirect,8.650390625
python-periphery,22.8955078125
FFmpyg-DavidRodriguezSoaresCUI,26.886311848958332
EasyTextTables,2.40234375
sphinx_gemini_builder,31.6953125
potassium,12.161969866071429
aboutyou,39.1044921875
video-compressor,1573.7253196022727
druid-libs,4.99755859375
uh,1.9404296875
locking-activations,2.68701171875
distributionsbyme,3.2119140625
bumblebee-sdk-test,19.723958333333332
hyperemesisz,2.7265625
SpokenToWrittenConvert,3.3857421875
odoo-addon-pos-sale-product-config-no-variant,45.15625
assistant-skill-analysis,82.72102864583333
openqasm-pygments,36.281901041666664
cslug,34.79567307692308
stargazers,18.15234375
pongo-cm,23.338623046875
DAQData,13.63544921875
pytabix,45.22314453125
wehyconfig,13.640625
guessTheNumberSDA,1.7248046875
savetomongo,3.1526692708333335
toppred,7.153157552083333
moodle-questions,7.391764322916667
rmsutil,3.91259765625
acc,1.9599609375
langly-pechkin,1.0732421875
Spruce-validation,10.158365885416666
func-router,3.8876953125
leapcell,17.357666015625
mac_cleanup,20.03594970703125
trest-solar,2.114501953125
ai-edge-litert,2392.6407335069443
roviclient,4.2158203125
htmlpurifier,2.3505859375
basepair,48.88465169270833
ape-risk,209.380615234375
gathercontent,3.52392578125
patchymcpatchface,5.507161458333333
jetkol42,10.358072916666666
cpfem,16.44482421875
dlanalysis,4.0146484375
statham,1.17822265625
benchmark-harness,4.1162109375
django-runscript,1.93994140625
DockerDeploy,2.8629557291666665
Wav2Lipy,39.5341796875
sentry-sdk-scrapy,2.201171875
aliyyunpdf,1.2763671875
py-mailinator,2.3400160845588234
pytest-djangorestframework,3.34912109375
pyW800rf32,17.5325927734375
open-needs-ls,8.791178385416666
tomer,283.4153645833333
etnltk,20.11328125
regens,19.48980034722222
PyFPT,123.32796223958333
bootstraps,1.40478515625
darkphoenixAES,79.16455078125
FlaskCurrency,2.8310546875
tflstatuscli,2.33154296875
youqu-button-center,16.1779296875
NASApi,4.24453125
web3py-ext,72.52260044642857
pytorchcrf,6.49765625
surveyengine,3.8429361979166665
vertool,3.99873046875
apache-sedona-beta,25.412109375
modelfun,7.160400390625
m3u-maker,13.912388392857142
yeelight,31.80860279224537
django-directmessages,7.017903645833333
vo-wot,108.63515625
sonnylabs,2.39599609375
MetaNN,8.846604567307692
aiohttp-middlewares,11.887158203125
django-ml_markdown,7.5458984375
userWelcome,2.8330078125
django-geocoder,3.8636067708333335
clavier,29.974609375
wix-protos-exposure-albums-albums-prime-server,1.39208984375
hoodat-utils,29.163618607954547
pylizlib,28.799479166666668
arraylake,77.17962646484375
alnoda-wrk,718.9593924906717
mat2py,35.993233816964285
courier-py,1.3837890625
searchx,5.27978515625
add-soham,2.0859375
pyobs-gemini,11.372265625
python-manylinux-demo,1772.744140625
idq-geo,5574.2119140625
pyfixedincome,8.3466796875
timsort,1.712890625
collective.elasticsearch,43.99550083705357
dynaphos,24.76611328125
ai-edge-torch-nightly,231.6675390625
LMSQuery,2.9105747767857144
qai-storage,7.887532552083333
deepalign-registry-service-client,1.05615234375
pyppl-jobtime,4.47607421875
taskjuggler-python,25.11572265625
mlpiper,719.6394116950758
voxplex,15.861328125
nomad-camels-driver-lakeshore-f41,12.646484375
ossa-ai-master,2.19580078125
pypqueue,1.6865234375
tree2ogg,3.9840494791666665
tinkoff-invest,14.078694661458334
libpythonproT,39.64306640625
raw2fits,7.424479166666667
hatedetect,2.72705078125
yahooauction-bidder,2.82421875
chaiNester,0.8466796875
nyt-most-popular,27.63525390625
pipegeojson,38.54638671875
pegasus-wms.dax,22.273763020833332
safeIO,7.220842633928571
pysfg,3.5686848958333335
pure-teleapi,79.12890625
pytest-aiohttp-client,3.4635416666666665
snakelog,7.6513671875
mobilitylabs-bsdprof,30.40673828125
csv342,13.181640625
splinepy,11755.780397288861
visgraph,3.243923611111111
systemID-light,18.344401041666668
xmsgrid,413.322265625
unbekanntekiste,8.091145833333334
mlcookiecutter,6.26904296875
PyQt6-Charts,268.9374267578125
litestar-vite,68.5779326467803
odoo14-addon-base-jsonify,39.33034446022727
flet-contrib-embed,2.2994068287037037
sdcard-lib,4.4052734375
gnow,6.686848958333333
dash-glue42,1819.8997395833333
django-rickroll,2.2421875
descord-custom-help,0.8889973958333334
dig-ass-ep-protos,4.38232421875
TOPSIS-Kartik-101803364,2.2021484375
pytor,7.24658203125
Mypackage-665,1.2412109375
gridnm,7.92578125
loxpy,13.93212890625
MPMSAnalyzer,284.2431640625
pyarmorpacker,3.024658203125
load-distributed-routing,13.516357421875
pyrarlibrary,6.27392578125
vr.builder,10.709102746212121
BiblioPixelNeoSegment,2.1455078125
madame,7.432421875
uMath,2.36376953125
nesterethangu,0.64794921875
PersonalExerciseTrainer,7.609049479166667
cuminai,11.8857421875
pymbs,249.67138671875
bivalve,12.895602318548388
slack-asyncio,4.10400390625
db-migrator,26.605657762096776
waldur-jira,16.636944110576923
coveo-example-library,1.23773193359375
pythrel,6.62646484375
AmosLogger,2.9002278645833335
pynter-defects,224.78105817522322
tencdec,12.13330078125
intelmq-api,14.309895833333334
madas,67.50105794270833
qronos-client,5.330989583333333
dislog,17.5546875
zxcvbn-rs-py,1999.2792160560346
autosubmitconfigparser,45.81825178760593
cachethq-client,26.660400390625
PyHive-canghai118,46.97216796875
hca-import-validation,9.34625244140625
cymulate-oauth2-client,8.044563802083333
googleautoauth,8.656693892045455
GPACalculator,1.55859375
haplo,101.52861328125
schema-evolve,17.994222005208332
django-static-jquery3,339.92353515625
azure-mgmt-webpubsub,104.68812779017857
odoo14-addon-base-model-restrict-update,28.97998046875
hamster-sqlite,14.69140625
xibless,101.1689453125
odoo9-addon-purchase-request-procurement,35.590169270833336
hpcblast,8.277622767857142
eea.rabbitmq.client,14.39453125
speedlogger,3.2802734375
rbac-utils,3.56376953125
gquant,35.4208984375
odoo8-addon-hr-timesheet-no-closed-project-task,17.455322265625
sqprefect-conductor-tasks,9.1142578125
smoltools,14.7542578125
util--q,1.0634765625
backdoor-io,18.246920072115383
qiniu-storage,2.85791015625
jupyter-keepalive,5763.111490885417
PyICe-ADI,13051.07080078125
axil-autotime,14.06494140625
torchtemplates,12.017578125
mia,13.85302734375
webhaak,17.499200994318183
sqlgrep,4.944486177884615
symbolfit,56.377734375
django-ajax-redirection,4.53125
moviepy-bg,252.199462890625
ail-typo-squatting,61.46138237847222
ccxxv,798.9794921875
apache-airflow-providers-salesforce,27.888897235576923
collective.js.jqueryui,204.07560067806602
odoo9-addon-printer-tray,39.42914496527778
sentry-regressions,11.70703125
python-walrus,13.5400390625
cryptoanalysis,3.6025390625
odoo8-addon-l10n-id-taxform-period,17.26025390625
MetaSBT,92.9931640625
upbit.py,5.475341796875
pythoncode,0.59765625
FCT,9.7529296875
icbc,78.5830078125
Geode-Common,3125.42962504835
sokort,91.32080078125
barbuilder,6.66845703125
wind-parser,7.648681640625
pylibpostal,2038.4763997395833
isocompy,63.281087239583336
http-backuper,7.601111778846154
py-clickhouse-migrator,2658.8020833333335
licensedcode-data,17528.71923828125
FireDM,146.83642578125
tcmarkers,5.535807291666667
pybats,305.7574573863636
r614-config,4.80419921875
tcp-modbus-aio,10.039388020833334
few-shot-priming,4101.798416535881
spriteutils-4,3.22900390625
linknlink,9.544347426470589
django-pdb-pudb,7.4814453125
automate-sonos-plugin,12.274739583333334
mini-lightning,20.645786830357142
whylogs-container-client,32.068658854166664
guardshield,19.444513494318183
rpi5-ws2812,4.45703125
crazyMathLib,1.08203125
cloudscript,6.9306640625
fib-py-nkandy44,3.4638671875
clever-alexis,53.659375
